id,make,model,year,vin_number,number_of_seats,car_type_name,licenseplate_number
1130,BMW,M Roadster,2007,1G6DP57V090538189,2,A,ERXJNNADN
1131,Maserati,Quattroporte,2011,WAUXU64B03N567394,3,C,JVN3CWHPJ
1132,Buick,Somerset,1986,1GTG5AE33F1697563,8,C,FO7Y8VNVI
1133,Cadillac,Eldorado,1995,WBAEU33493P009041,2,A,UMJRTBVL4
1134,Mercedes-Benz,CLS-Class,2008,SALSF2D4XAA185274,9,A,OAGV1TQSB
1135,Mazda,Miata MX-5,1997,WAUEF48H58K433171,3,B,BYUZY0PIG
1136,GMC,Sierra 1500,2007,1G6DN56S350235432,2,D,KSKRNWDQS
1137,Honda,del Sol,1996,JN1AZ4EH4AM614448,6,C,NYPZ0LHZ9
1138,Ford,Five Hundred,2005,5J6YH1H39AL367067,3,E,LSSHWMYRC
1139,Audi,R8,2008,WBAFR9C54BD052672,2,A,SQL26SCX6
1140,Morgan,Aero 8,2009,19UUA76607A339382,8,E,DTVA4JHQG
1141,Dodge,Ram,2008,1G4HJ5EM6BU586266,9,A,YFYNBGPB6
1142,BMW,,2001,5GAKRBED4BJ107153,1,A,MEJD50ZDR
1143,Toyota,Yaris,2008,WAULH64B71N599291,3,B,YQTE9ZMYF
1144,Nissan,Altima,2003,1GYS4AKJ4FR134520,9,A,JAMOJ5WC2
1145,Mercury,,1999,1GKUCGEJ9AR892334,1,B,KEX64FALL
1146,Ford,F-Series,2006,1J4PN2GK4AW083623,4,A,PEWDINML6
1147,Plymouth,Grand Voyager,2000,3VW517AT1FM725033,9,C,TMH1YOTQZ
1148,Cadillac,SRX,2010,WAUDFAFL8BA106777,5,A,VIA1DBUT5
1149,Jaguar,S-Type,2002,1N6AA0CJ5EN477875,6,B,RC2FSJWI0
1150,Kia,Sorento,2013,WBAKG1C57CE481242,2,A,AA10JSBNL
1151,Kia,Spectra,2009,1GYS3HEF6ER812072,6,D,RPMZI2BY3
1152,Dodge,Caravan,2000,JTHDU1EF6B5039043,9,A,SMQTN7ZTK
1153,Ford,Probe,1997,WBA3B9C5XDF260604,4,C,MZTEMUMCV
1154,Mercury,Sable,2000,WAUDT48H75K908223,4,E,HY95UNKYP
1155,Mercury,Grand Marquis,2008,1G6AB5RA9F0639724,8,D,UQYSL0UKS
1156,Dodge,Shadow,1993,WBAVC93578K977545,3,E,TFMT5VHJ3
1157,GMC,Safari,1993,19UUA8F27CA427245,4,A,AE7A52QGS
1158,Nissan,Quest,1997,1FTKR1AD3BP859645,8,C,JBDPIPNXA
1159,,Grand Marquis,1985,4T1BF1FK4DU862928,1,E,UEJHTHHLX
1160,Buick,LeSabre,2001,1FT7W2A6XEE182616,4,B,YHUZ9MMLV
1161,Ford,Taurus,2004,SCFEDCAD5AG920651,6,D,KY9FG2NND
1162,Volvo,V40,2001,2G4GK5EX4F9028566,8,C,FUAXNVMK7
1163,Suzuki,Sidekick,1990,WAUAF78E08A763733,5,E,ZDIFRXRMP
1164,Bentley,Continental Super,2012,3VW4S7ATXEM341629,3,E,NQDP2EHQ8
1165,Jeep,Grand Cherokee,2009,2FMGK5B81FB235032,9,C,IY3QZ0JKT
1166,Land Rover,Discovery,2002,WAUEF78E68A163865,3,E,UPP7W2DAP
1167,Acura,NSX,1997,WBA3B1G52FN418096,7,B,WLATM7CLO
1168,Land Rover,Range Rover,1987,JH4KA965X2C711721,6,A,TC8VZZRCH
1169,,Metro,1995,JN8AZ1MU4DW805813,2,C,UJ4M2LHVH
1170,Saturn,Ion,2005,19UUA66206A723071,1,A,FL7HQOCPP
1171,Chevrolet,Avalanche 2500,2004,TRUTC28NX51886500,3,D,PYTEFZGKQ
1172,GMC,Jimmy,1993,1C4RDHEG7CC487197,2,D,JGPGSBLCX
1173,Volkswagen,Passat,1993,WAULC58E84A659040,8,A,ZPIGAIGG6
1174,GMC,,2007,JTDKN3DU2A0533400,8,B,PE3LHXPIB
1175,Lincoln,Town Car,1989,JTDKDTB37D1044891,1,C,QOBK2JMOU
1176,Lamborghini,Murciélago,2008,JH4DC43511S446749,6,C,RMXS3MFON
1177,Mercedes-Benz,SLK-Class,2008,JN8AZ2KR6AT059687,6,A,FKN9QJVDR
1178,Cadillac,CTS-V,2007,YV4952CF1E1433636,4,D,YBI8U9MEG
1179,GMC,Suburban 2500,1996,WVGEF9BP3ED203754,5,D,BGLPR7GCY
1180,Volvo,940,1995,JHMFA3F28BS653442,4,B,CTTRHEYX1
1181,Kia,Rio,2005,JN1BJ0HR2DM198686,1,C,IIW3CTJUG
1182,Land Rover,Range Rover,1997,1G6DF577180950236,2,D,HPY6PBWVQ
1183,Lincoln,Mark LT,2006,1D7RV1GPXAS461557,2,D,SUPOB6NSJ
1184,Ford,F250,1998,3C6TD4HT7CG413421,3,D,OFXQADRJS
1185,Pontiac,Grand Prix,1979,WBAYE4C56DD920746,6,D,AZUT9TSZR
1186,Chevrolet,Tahoe,2008,WDDEJ7KB2BA557392,1,A,YCTRFVGEN
1187,Honda,,2004,WAUSH98E16A824062,8,A,NM74X7TCK
1188,Isuzu,Ascender,2008,19UUA56703A988915,5,B,CCJHH3UG6
1189,Toyota,Sienna,2012,WAUFEAFM9AA853310,9,E,KKPRCVMKZ
1190,Pontiac,Grand Prix,1981,NM0AE8F73E1122620,1,D,VS0SL7GBZ
1191,Suzuki,Verona,2006,JTDKDTB37E1903849,5,A,WRVFN0TJZ
1192,Lincoln,Continental Mark VII,1986,19UUA9F54EA222890,4,A,EUTWKKVSI
1193,Volvo,V70,2005,WAU4FBFL8BA816641,2,B,ZJQQIWXDT
1194,Audi,riolet,1995,3MZBM1K7XEM448017,7,C,NHLXB6FPH
1195,Ferrari,F430,2008,WAUYGBFCXDN943840,7,C,EP75EEFD2
1196,Oldsmobile,Cutlass Supreme,1996,WBABN53403P780791,1,D,BSR6RJLAA
1197,Lexus,LX,2013,2C4RDGCG9FR266600,2,B,KDEEPWHMN
1198,,,1985,WAUFL44D22N920723,7,A,HTLE35BV3
1199,Toyota,TundraMax,2008,WBAKX8C56BC247886,5,A,EKABIXJZV
1200,Dodge,Magnum,2007,WBANU535X8C008662,3,E,EN3QASKNR
1201,Volkswagen,Golf,2001,WBAEA5C57AC621661,9,E,MU57BLQKO
1202,Hyundai,Elantra,2011,WAUCVAFR5AA290707,8,D,GSEE9ZYNJ
1203,Pontiac,Grand Am,1989,JA4AP3AU0CZ748440,1,C,GSBMASTP5
1204,Eagle,Summit,1992,1G6DG577580855076,4,B,EEF2MXKB2
1205,Suzuki,SJ 410,1986,1C4PJLABXFW725463,9,B,VN0J9LOI6
1206,Volkswagen,Quantum,1984,WAUWMAFCXEN857441,7,B,NI8YSOVT8
1207,Cadillac,Eldorado,2002,3C3CFFFH1FT639810,2,C,VKY1PSZZL
1208,Infiniti,Q,2000,WAUBF78EX7A364377,7,E,DRCHGEKWY
1209,Jeep,Wrangler,2009,1G6AP5SX2F0324019,4,A,PDHZIPLMV
1210,Dodge,Ram 2500,1994,WAUPL58E84A420542,3,D,MH8PDDIVS
1211,Cadillac,CTS-V,2009,3C4PDDBG4FT605669,1,A,PEH3MUEP1
1212,Suzuki,Vitara,1999,JN8AE2KP6F9864684,6,B,NC5CM5PZC
1213,Infiniti,G37,2010,1VWAH7A37DC252196,2,A,RA6QNQZWS
1214,Ford,Windstar,2003,5NPDH4AE0EH842956,4,A,IG1GMFLQ5
1215,Suzuki,Swift,1988,1GYUCCEF9AR666854,9,E,RKHRYWAOQ
1216,Porsche,911,2006,JM1CW2BL1E0013605,5,C,OEO64SXTD
1217,GMC,Safari,1992,WUARL48H99K211878,5,B,JRNUU1HUO
1218,Volkswagen,,1987,1GYS3FEJ5DR546020,9,D,PTTD7DRVS
1219,Nissan,Titan,2007,3VWML7AJ0EM704029,6,D,MJM2IGJOQ
1220,Porsche,Boxster,2013,WVWAB7AJXCW950205,2,C,PAP7QFSK3
1221,Buick,,1994,WVWDB7AJXEW217328,9,D,IHVZRSKWQ
1222,Mazda,,2011,1G6KY54901U155488,1,A,EMAXVBEOM
1223,Lexus,LS Hybrid,2010,SAJWA4EC9DM437495,8,D,KFUZE5OMI
1224,GMC,Yukon,1999,2G4GN5EC5B9146124,8,E,PMNEPUTS9
1225,Bentley,Arnage,2005,3VWKX7AJXAM979820,9,E,JQFR6SURT
1226,Mitsubishi,Lancer Evolution,2008,3N1AB7AP7FL911119,3,D,XUNQKZBVO
1227,Mazda,MX-6,1991,1B3BD4FB8BN711644,4,D,AUYNIAIA9
1228,Chevrolet,G-Series G20,1994,3VWML7AJ3DM696815,3,B,MVA9M8NWL
1229,Mercedes-Benz,S-Class,2011,WAUSF98E08A767586,5,D,IME2B8UT7
1230,Nissan,200SX,1998,JN1AZ4FH9FM016426,3,B,LCNQDGBJI
1231,Land Rover,Range Rover,1989,1G6DW67V580444896,5,A,AGCRSZXSE
1232,Volkswagen,Touareg,2012,1FTEW1E85AF542294,1,A,TKZW7FVU9
1233,Lotus,Exige,2005,5BZAF0AA7FN205076,1,C,IJ63YGDHS
1234,Ford,Windstar,1995,WDDEJ7EB0CA690150,1,C,FQZH6COQD
1235,Oldsmobile,88,1994,WBASP2C57BC987265,6,A,VK42C3YC1
1236,Nissan,Maxima,2000,1B3CC4FB3AN582699,5,A,ZRRROMXL7
1237,Mitsubishi,Galant,1997,KMHTC6AD0DU704038,6,B,UTTFQKUYT
1238,Pontiac,Grand Am,1985,WBA3A9G54CN597285,6,E,OUK0KKAPI
1239,Ford,,2003,JM1NC2SF6F0696625,6,D,XCT6W8NJ9
1240,Lotus,Esprit,1989,4A31K2DF3BE424428,5,D,RV8JW5INJ
1241,Honda,,2000,WBALX3C55CC165995,7,B,BH0988YWH
1242,Hyundai,Santa Fe,2003,1YVHZ8BH9B5431267,5,E,WINS7QEPC
1243,BMW,X6,2008,5N1AZ2MG1FN149036,5,D,TA99GLCL6
1244,Toyota,Prius,2010,KNADH4A36B6234019,1,A,RMO04PUPY
1245,Honda,Passport,1995,JTEBU5JR4A5481619,2,E,LIIY37RB4
1246,Nissan,240SX,1993,WAUDG74F66N627850,9,E,OTYE4CSY2
1247,Buick,,1991,WDCYC3HFXDX491656,8,A,PNCAIPQKO
1248,Buick,Somerset,1985,SALFP2BG9FH655997,9,D,UQSUIEKQL
1249,Dodge,Durango,2002,5XXGM4A70EG468290,2,D,HOUCREZTK
1250,Audi,riolet,1998,SCBCP73W48C553118,1,B,WNC0HFYC0
1251,GMC,Suburban 1500,1997,WAUDGAFL7EA901708,5,C,URHKA6NM6
1252,Jeep,,2002,WAU4GBFB4BN278680,4,A,IKNLABSFJ
1253,Hyundai,Equus,2011,2C3CDXDT4CH930504,6,A,PHQRZPJC2
1254,Ford,Bronco II,1988,JTDZN3EU9D3889973,1,B,QQHU7RDRN
1255,BMW,3 Series,2000,2G4WC532651466762,1,E,OASKYKNZP
1256,Nissan,Maxima,2006,WBABD53465P872378,5,C,WOQ7WQQRG
1257,Nissan,Frontier,2001,JN1CV6EL4FM917886,7,E,TMG35JBCW
1258,Hyundai,,1999,3CZRE3H36BG508443,6,C,BXK2L3SP3
1259,BMW,6 Series,2006,3MZBM1K70EM090300,5,C,FD025GRJU
1260,Cadillac,DeVille,2000,1FMJK1G53BE064053,2,A,JC38MFBRI
1261,Nissan,200SX,1998,2G4WS55J841292196,2,D,KPOBRMHIC
1262,Mercury,Sable,1998,WAUHFAFL3EN476565,8,B,QBSVXCGOK
1263,BMW,5 Series,2000,WBAAX134X3P294276,7,E,QJC9WJIPP
1264,Mitsubishi,RVR,1992,1G6DC5EG7A0701246,5,C,RHA2ZSCY4
1265,Isuzu,i-Series,2007,WBA3C3C59EP121957,7,E,HWMR1OZC8
1266,Hyundai,Elantra,2001,WBADW3C51BE355710,1,B,NUWL2RYS6
1267,Chevrolet,Tahoe,1998,JM3TB2MA9A0721688,3,A,XWX95LTKL
1268,Lexus,SC,2007,3VW507AT7FM962435,9,D,GF82I3VS5
1269,GMC,Sierra 3500,2000,WA1CGAFP7EA637255,1,A,AEHNNVGIV
1270,Chevrolet,TrailBlazer,2008,WAUVT64B73N196809,2,E,OBP9PYXG3
1271,Toyota,Avalon,2005,1FMEU3BE0AU433714,8,B,BRBUBZES6
1272,,G25,2012,1C3BCBGG0EN785598,4,D,CNXOFUMK6
1273,Lexus,LX,1998,1GTG5AE35F1244559,5,D,VMBKMHIAU
1274,BMW,,1993,WBAPM5C57BE133798,6,D,JV8SQ5RBI
1275,BMW,,2009,WVWAA7AH0AV705934,7,C,BC23JOFYT
1276,Isuzu,Rodeo,1996,WA1MMAFE1AD428520,7,D,TFXIL5LD8
1277,Lincoln,Town Car,1991,WBADS43452G188197,5,B,NO7ICINRA
1278,Mazda,B-Series,1999,1FTEX1C88AF287821,1,C,FRKQ2TCTL
1279,Chevrolet,Impala,2004,5FRYD3H83FB225962,1,B,XV2DLILM5
1280,Kia,Forte,2010,WAUFFAFL8EA461851,4,D,FKVW10TA9
1281,Ford,Excursion,2002,KMHFC4DFXAA388501,5,B,IHJAAGWPQ
1282,Acura,TL,2008,1FTEX1CM5CF764799,4,E,IRP9HOZY0
1283,Hyundai,Elantra,2009,5N1AN0NU0DN725507,5,B,BR0D91IBA
1284,Ford,Bronco,1993,5UXZV4C5XDL838921,1,C,MVZ6QSLP4
1285,Mitsubishi,i-MiEV,2012,WAUAF48H08K021951,8,A,WUQLFPVD8
1286,Ford,Explorer,2013,1G6AV5S86E0808255,6,D,XJ4A7ECPW
1287,Mercedes-Benz,S-Class,1996,WAUSG94F29N570036,2,D,WLEWXUHXH
1288,Mazda,B-Series,2000,WP1AA2A27DL341960,4,D,QNVUV8DCB
1289,Saab,900,1997,3VW4A7AT1DM764715,7,B,KRP24GYXO
1290,GMC,Savana 1500,2010,1FTEX1EW2AK592038,1,E,VBBWB9BAK
1291,Mitsubishi,,1986,1C6RD6HT5CS855337,7,E,VZHATIYS6
1292,Chevrolet,Silverado 2500,2006,3C6TD5CT8CG777103,4,C,KH4LBNZOH
1293,Pontiac,Sunbird,1992,WAUXL68E45A914341,4,C,OO5HPSFEB
1294,BMW,3 Series,2006,5N1AA0NC6EN845557,8,D,XDFUWCUSK
1295,Volkswagen,New Beetle,2007,SCFHDDAJ0CA616612,7,B,MW8CE0ATQ
1296,Chevrolet,Silverado,2001,WP0AA2A97CS256123,2,E,DOB1DORZJ
1297,Lexus,LS,2011,1C3CC4FB2AN250241,7,B,OW600KCF0
1298,Jaguar,S-Type,2007,5N1AA0ND6EN894380,6,D,XV4J8FHSC
1299,BMW,5 Series,2007,2C3CCAGG6EH682838,7,D,ZCMAGQIMJ
1300,Ford,Bronco,1993,WAUWGAFC8EN850379,7,A,YQVK6STJW
1301,Porsche,Boxster,2003,2G4WB55K021590702,3,D,SE4HYEIVH
1302,Mitsubishi,Mighty Max Macro,1994,SCBGR3ZA5DC959824,3,D,JILA29DNO
1303,Corbin,Sparrow,2004,WBAUC9C56BV250527,1,A,YF9439TVH
1304,Infiniti,I,1999,1FTWW3B59AE639529,6,E,VJ86UOCJB
1305,Subaru,Outback,2002,1FTWF3C53AE625088,1,D,HNXEJ2KQ5
1306,Chevrolet,G-Series G10,1994,JN1BJ0HR2FM563581,1,A,PU95FTOKT
1307,Chevrolet,Corvette,2008,1FTSW3B54AE869316,5,E,NGNZTDHEW
1308,Subaru,XT,1991,5GAER23D59J369998,3,D,BON6RYOSC
1309,Subaru,Legacy,1993,JN1AZ4EH2CM195907,9,E,GSJIEFNVY
1310,Acura,Legend,1992,WDDGF4HB8CA422287,7,C,KAWVG6TVL
1311,Toyota,Land Cruiser,2004,5NPE24AF5FH128515,2,C,ENNJZIXE9
1312,Aston Martin,Virage,2011,1D7RE5GK8BS440025,4,E,KEGWI5FFQ
1313,Porsche,944,1987,1G6AC5SX4E0702187,9,B,LF7CQYPKN
1314,Toyota,Sequoia,2010,1GYS4HKJ5FR815732,6,A,XAJZG0RFD
1315,Nissan,Sentra,1993,1FTEX1CWXAK472457,2,E,ZUPYHSGXM
1316,Saturn,L-Series,2003,WBAVB73527K550800,2,C,NDE4MAAZS
1317,Suzuki,Swift,2005,KNAFT4A27A5664502,4,B,XCVHIKLEJ
1318,Volkswagen,Golf,1990,WP0CB2A81FS865662,4,A,QKWRI4XW8
1319,Toyota,Xtra,1992,5UXZV4C59D0484097,4,B,FEBEMEPWT
1320,Audi,80,1992,WAUPL68E44A565275,2,B,LZNT6QJSN
1321,Chevrolet,Silverado,2007,WBABS33483P956807,9,E,BFNRHBDLM
1322,Lexus,LS,1997,JHMZE2H3XCS431195,7,B,NSV13AHL0
